season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
2025,Mercedes,77.74,116.60999999999997,0.6666666666666667,15
1950,Nichels,69.6,6.96,10.0,1
1950,Rae,48.0,4.8,10.0,1
1951,Moore,74.4,7.44,10.0,1
1952,Ferrari,72.074,57.65899999999999,1.2500043358365565,8
1952,Aston Butterworth,50.717,15.215,3.333355241537956,3
1952,Connaught,70.517,21.155,3.333349090049633,3
1953,Veritas,53.745,10.748999999999999,5.0,2
1953,EMW,53.4,5.34,10.0,1
1954,Vanwall,59.667,17.900000000000002,3.333351955307262,3
1955,Mercedes,81.142,48.685,1.6666735134024853,6
1956,Stevens,61.8,6.18,10.0,1
1958,Team Lotus,68.889,62.0,1.1111129032258065,9
1963,De Tomaso,48.2,14.459999999999999,3.333333333333334,3
1963,Porsche,63.52,57.168000000000006,1.111111111111111,9
1964,Brabham-Ford,52.8,5.28,9.999999999999998,1
1965,Lotus-BRM,68.057,68.057,1.0,10
1965,Lotus-Climax,78.415,78.41499999999999,1.0000000000000002,10
1966,McLaren-Ford,72.8,21.84,3.333333333333333,3
1969,Matra-Ford,82.5,90.75,0.9090909090909091,11
1970,Ferrari,78.492,102.03999999999999,0.7692277538220307,13
1972,March,64.514,77.417,0.8333311804900732,12
1972,Tecno,49.967,29.980000000000004,1.6666777851901264,6
1975,Hesketh,72.907,102.07000000000001,0.7142843146859997,14
1975,McLaren,74.071,103.7,0.714281581485053,14
1975,Williams,58.431,75.96,0.7692338072669826,13
1975,Embassy Hill,65.43,65.42999999999999,1.0000000000000002,10
1975,Ensign,63.943,44.76,1.428574620196604,7
1976,Brabham-Alfa Romeo,66.075,105.72000000000001,0.625,16
1978,Team Lotus,76.187,121.89999999999998,0.6249958982772765,16
1980,Tyrrell,65.693,91.97,0.7142872675872567,14
1980,Shadow,61.8,6.18,10.0,1
1981,Arrows,65.52,98.28000000000002,0.6666666666666665,15
1983,Brabham,75.28,112.91999999999999,0.6666666666666667,15
1984,Ferrari,74.1,118.56,0.6249999999999999,16
1984,Spirit,61.029,85.44,0.7142907303370787,14
1985,Zakspeed,53.16,53.16,1.0,10
1986,Minardi,56.64,84.96000000000001,0.6666666666666666,15
1988,AGS,61.763,98.82000000000001,0.6250050597045131,16
1988,Tyrrell,60.48,90.72,0.6666666666666666,15
1989,Tyrrell,66.244,105.98999999999998,0.6250023587130863,16
1989,AGS,64.2,38.52,1.6666666666666665,6
1990,Onyx,60.3,30.15,2.0,5
2002,Toyota,66.494,113.03999999999999,0.5882342533616419,17
2004,McLaren,73.983,133.17,0.5555530524892994,18
2004,Williams,77.433,139.38,0.5555531640120535,18
2005,Red Bull Racing,71.305,135.48000000000002,0.526313847062297,19
2006,Honda,76.65,137.97,0.5555555555555556,18
2007,Renault,73.941,125.69999999999999,0.5882338902147972,17
2008,Ferrari,81.767,147.17999999999998,0.5555578203560266,18
2009,Ferrari,73.824,125.5,0.5882390438247012,17
2010,McLaren,80.526,152.99999999999997,0.5263137254901962,19
2010,Williams,70.547,134.04000000000002,0.5263130408833183,19
2011,Virgin,56.337,107.03999999999999,0.5263172645739911,19
2013,Caterham,58.563,111.26999999999998,0.5263143704502562,19
2013,McLaren,73.8,140.22,0.5263157894736842,19
2013,Williams,65.084,123.66000000000001,0.5263140870127769,19
2014,Red Bull Racing,79.5,151.04999999999998,0.5263157894736843,19
2015,Red Bull Racing,75.663,143.75999999999996,0.52631469115192,19
1959,BRM,76.436,53.504999999999995,1.4285767685263062,7
1959,Cooper-OSCA,70.2,7.02,10.000000000000002,1
1960,Ferrari,78.306,62.645,1.24999600925852,8
2016,Mercedes,85.843,180.26999999999998,0.47619126865257677,21
2018,Ferrari,83.9,176.19000000000003,0.47619047619047616,21
2020,McLaren,76.324,129.75,0.5882389210019268,17
2020,Williams,62.606,106.42999999999999,0.588236399511416,17
2012,Force India,71.64,143.28,0.5,20
2024,Mercedes,79.238,190.17,0.4166692958931483,24
1950,Ferrari,75.314,37.657000000000004,1.9999999999999996,5
1951,Hall,49.2,4.92,10.0,1
1953,Maserati,75.778,60.622,1.2500082478308205,8
1953,Simca,61.2,12.24,5.0,2
1954,Maserati,71.129,56.903,1.2500043934414706,8
1954,Pawl,55.8,5.58,10.0,1
1955,Schroeder,51.0,5.1,10.0,1
1958,BRM,74.594,67.13499999999999,1.1111044909510688,9
1961,Cooper-Climax,66.061,52.849,1.2499952695415242,8
1961,De Tomaso-Alfa Romeo,49.8,4.98,9.999999999999998,1
1964,Cooper-Climax,73.23,73.23,1.0,10
1964,Scirocco,57.4,11.48,5.0,2
1965,BRM,79.289,79.28899999999999,1.0000000000000002,10
1966,Eagle-Climax,72.686,50.879999999999995,1.4285770440251575,7
1969,Brabham-Repco,71.7,7.17,10.0,1
1974,McLaren,74.633,111.95,0.6666636891469405,15
1974,Hesketh,68.954,89.64,0.7692324854975456,13
1974,Ensign,60.8,36.480000000000004,1.6666666666666663,6
1974,Token,60.2,18.06,3.333333333333334,3
1975,Shadow-Matra,60.3,12.059999999999999,5.0,2
1976,McLaren,76.444,122.31,0.6250020439865914,16
1976,Williams,70.8,7.08,10.0,1
1976,Ensign,65.743,92.03999999999999,0.7142872664059104,14
1976,Hesketh,58.142,69.77,0.8333381109359325,12
1977,LEC,60.6,18.18,3.3333333333333335,3
1978,Brabham,75.144,120.23000000000002,0.6250020793479164,16
1978,Fittipaldi,70.35,112.56,0.6249999999999999,16
1978,Surtees,59.233,88.85,0.6666629150253236,15
1979,Shadow,62.786,87.89999999999999,0.7142889647326508,14
1979,Tyrrell,72.813,109.22,0.6666636147225783,15
1981,March,62.6,56.34,1.1111111111111112,9
1981,Toleman,63.3,12.66,5.0,2
1983,Team Lotus,66.04,99.05999999999997,0.6666666666666669,15
1984,Ligier,63.6,101.75999999999998,0.6250000000000001,16
1987,McLaren,77.175,123.47999999999999,0.625,16
1987,Williams,80.712,129.14,0.6249961282329256,16
1987,Coloni,45.0,4.5,10.0,1
1989,Onyx,63.275,75.92999999999999,0.8333333333333334,12
1990,Tyrrell,67.281,107.64999999999999,0.6249976776590804,16
1990,AGS,56.288,45.03,1.2500111037086385,8
1995,Pacific,56.559,96.14999999999999,0.5882371294851795,17
1995,Tyrrell,66.476,113.00999999999999,0.5882311299884966,17
1996,Benetton,79.088,126.54,0.6250039513197407,16
1997,Benetton,77.647,132.0,0.5882348484848485,17
2000,Prost,62.859,106.86000000000001,0.5882369455362155,17
2003,Toyota,71.325,114.12,0.625,16
2005,Ferrari,75.979,144.36,0.5263161540592961,19
2008,Red Bull Racing,71.267,128.28,0.5555581540380418,18
2009,Brawn,82.871,140.88000000000002,0.5882382169222031,17
2009,Red Bull Racing,80.029,136.04999999999998,0.5882322675486954,17
2014,Ferrari,76.863,146.04,0.5263147082990962,19
2015,Ferrari,80.732,153.39000000000004,0.5263185344546579,19
1959,Team Lotus,68.05,54.43999999999999,1.2500000000000002,8
1960,Cooper-Maserati,65.656,52.52500000000001,1.2499952403617323,8
1959,JBW,57.0,5.7,10.0,1
1991,Benetton,74.044,118.46999999999998,0.6250021102388791,16
1992,Benetton,78.581,125.72999999999999,0.6249980116121849,16
1992,Andrea Moda,44.575,8.915,5.000000000000001,2
1993,Lola,58.95,82.53,0.7142857142857143,14
1993,Tyrrell,57.788,92.46000000000002,0.625005407743889,16
2018,Red Bull Racing,78.057,163.92000000000002,0.47618960468521226,21
2021,Haas F1 Team,60.123,132.27,0.45454751644363794,22
2021,Sauber,67.35,148.17,0.45454545454545453,22
2022,McLaren,73.2,161.04,0.4545454545454546,22
2022,Williams,64.023,140.85,0.45454739084132056,22
2010,Toro Rosso,66.332,126.03,0.5263191303657858,19
2013,Toro Rosso,67.832,128.88,0.5263190564866542,19
2025,Alpine,65.7,98.55,0.6666666666666667,15
2025,Ferrari,78.7,118.05,0.6666666666666667,15
2024,Red Bull Racing,79.975,191.93999999999997,0.4166666666666667,24
1950,Talbot-Lago,73.103,43.862,1.6666590670740047,6
1951,Sherman,68.4,6.84,10.000000000000002,1
1953,Kurtis Kraft,65.79,6.579,10.000000000000002,1
1953,Watson,50.4,5.04,10.0,1
1954,Kurtis Kraft,61.56,6.156,10.0,1
1955,Ferrari,75.648,45.389,1.6666593227433957,6
1955,Connaught,58.56,5.856,10.0,1
1956,Phillips,72.6,7.26,10.0,1
1957,Cooper,70.14,35.07,2.0,5
1962,Emeryson,57.9,23.16,2.5,4
1964,BRP,70.013,56.01,1.2500089269773256,8
1965,Brabham-Climax,74.082,74.082,1.0,10
1965,Cooper-Maserati,37.25,3.725,10.0,1
1967,Cooper-Climax,86.4,8.64,10.0,1
1967,Protos,56.4,5.64,10.0,1
1968,LDS,60.6,6.06,10.0,1
1968,Lola,69.0,6.9,10.0,1
1970,BRM,69.615,90.5,0.7692265193370165,13
1970,Brabham,73.938,96.11999999999999,0.7692259675405744,13
1970,Surtees,69.129,48.39,1.428580285182889,7
1971,Tyrrell,79.218,87.14,0.9090888225843471,11
1971,Bellasi,53.4,5.34,10.0,1
1975,Lyncar,55.8,5.58,10.0,1
1978,Ligier,75.9,121.44000000000001,0.625,16
1979,Merzario,52.2,10.440000000000001,5.0,2
1979,Wolf,64.629,90.47999999999999,0.7142904509283821,14
1980,Arrows,66.8,93.52,0.7142857142857143,14
1981,Tyrrell,65.18,97.77000000000001,0.6666666666666666,15
1982,ATS,60.88,91.32,0.6666666666666667,15
1982,Osella,57.129,79.97999999999999,0.7142910727681921,14
1982,Theodore,55.2,38.64,1.4285714285714286,7
1983,Ferrari,79.42,119.13,0.6666666666666667,15
1983,Spirit,62.0,37.2,1.6666666666666665,6
1984,Brabham,72.356,115.77,0.62499784054591,16
1985,Renault,69.34,104.00999999999998,0.6666666666666669,15
1986,McLaren,78.113,124.98,0.6250040006401024,16
1986,Williams,82.688,132.3,0.6250037792894936,16
1988,Arrows,70.256,112.40999999999998,0.6249977759985768,16
1989,Arrows,66.469,106.35,0.6250023507287259,16
1998,Benetton,76.106,121.77000000000001,0.6249979469491663,16
1999,BAR,66.488,106.38,0.6250047001316037,16
1999,Benetton,70.988,113.58,0.625004402183483,16
2004,Minardi,61.367,110.46000000000002,0.5555585732391815,18
2004,Sauber,72.417,130.35,0.5555581127733027,18
2008,Super Aguri,60.6,24.240000000000002,2.5,4
2010,Sauber,65.274,124.02000000000001,0.526318335752298,19
2011,Renault,69.679,132.39,0.5263161870231892,19
2013,Sauber,68.763,130.65,0.5263145809414467,19
2014,Lotus F1,63.821,121.26,0.5263153554346033,19
2014,Marussia,60.244,96.39,0.6250025936300446,16
2015,Lotus F1,70.137,133.26,0.5263169743358848,19
1959,Ferrari,78.763,55.134,1.4285740196611891,7
1959,Elder,45.0,4.5,10.0,1
1959,Connaught,62.4,6.24,10.0,1
1960,BRM,73.363,58.69,1.2500085193388994,8
1960,Ewing,51.55,5.155,9.999999999999998,1
1991,Larrousse,58.8,11.76,5.0,2
1992,Larrousse,60.412,96.66,0.6249948272294641,16
1994,Pacific,52.8,26.4,2.0,5
1994,Tyrrell,66.919,107.07,0.6250023349210797,16
2016,Ferrari,79.5,166.95000000000002,0.47619047619047616,21
2018,Mercedes,85.114,178.73999999999998,0.4761888776994518,21
2020,Haas F1 Team,62.947,107.00999999999998,0.5882347444164099,17
2020,Sauber,65.241,110.91,0.5882337030024344,17
1951,Lesovsky,43.5,4.35,10.0,1
1951,OSCA,70.2,7.02,10.000000000000002,1
1952,Kuzma,86.4,8.64,10.0,1
1953,Bromme,49.0,4.9,10.0,1
1954,Bromme,38.7,3.87,10.0,1
1957,Vanwall,79.017,47.410000000000004,1.666673697532166,6
1958,Porsche,68.4,13.68,5.000000000000001,2
1963,Lotus-BRM,64.702,64.702,1.0,10
1963,Lotus-Climax,73.062,73.062,1.0,10
1963,Team Lotus,49.4,4.94,9.999999999999998,1
1966,Brabham-Climax,69.729,48.81,1.4285802089735709,7
1966,Cooper-Maserati,74.939,67.44500000000001,1.1111127585439986,9
1966,Eagle-Weslake,61.6,18.48,3.3333333333333335,3
1968,BRM,72.15,86.58,0.8333333333333334,12
1970,Bellasi,52.2,5.22,10.000000000000002,1
1970,Tyrrell,72.8,21.84,3.333333333333333,3
1971,BRM,72.218,79.44,0.9090886203423969,11
1971,Brabham,65.964,72.56,0.9090959206174201,11
1971,Surtees,67.8,74.58,0.9090909090909091,11
1971,Lotus-Pratt &amp; Whitney,62.8,18.84,3.333333333333333,3
1972,Matra,74.25,89.1,0.8333333333333334,12
1972,Team Lotus,70.575,84.69,0.8333333333333334,12
1974,Trojan,58.0,34.8,1.6666666666666667,6
1977,Renault,59.55,23.820000000000004,2.4999999999999996,4
1978,Merzario,55.5,44.400000000000006,1.2499999999999998,8
1978,Wolf,71.306,114.09,0.62499780874748,16
1979,Ligier,73.46,110.19,0.6666666666666666,15
1980,Ferrari,69.343,97.08000000000001,0.7142871858261227,14
1981,Brabham,74.8,112.20000000000002,0.6666666666666665,15
1981,Fittipaldi,62.533,56.28,1.1111051883439944,9
1982,McLaren,75.22,112.83000000000001,0.6666666666666666,15
1982,Williams,76.44,114.66,0.6666666666666666,15
1982,Ensign,58.867,52.980000000000004,1.111117402793507,9
1983,Arrows,67.28,100.92000000000002,0.6666666666666665,15
1984,Tyrrell,60.569,78.74000000000001,0.7692278384556769,13
1986,Osella,53.4,80.10000000000001,0.6666666666666666,15
1987,Zakspeed,61.656,98.65,0.6249974657881399,16
1988,Ferrari,76.087,121.73999999999998,0.6249958928864795,16
1989,Ferrari,72.806,116.49000000000001,0.624997853893038,16
1990,Dallara,57.844,92.55000000000001,0.6250027012425715,16
1990,Ligier,63.119,100.99,0.6250024754926231,16
1995,Ligier,70.453,119.77000000000001,0.5882357852550721,17
1995,Simtek,56.58,28.29,2.0,5
1996,Minardi,64.088,102.54,0.6250048761458942,16
1996,Sauber,70.763,113.22,0.6250044161808869,16
1996,Forti,61.6,36.96,1.6666666666666667,6
1997,Minardi,60.676,103.15,0.5882307319437712,17
1997,Sauber,70.612,120.04,0.5882372542485838,17
2003,Ferrari,82.125,131.4,0.625,16
2005,Toyota,77.447,147.15,0.5263132857628271,19
2006,McLaren,76.267,137.28,0.5555579836829837,18
2006,Williams,66.5,119.69999999999999,0.5555555555555556,18
2012,Mercedes,70.995,141.98999999999998,0.5000000000000001,20
1960,Christensen,56.4,5.64,10.0,1
1960,Kuzma,59.4,5.94,9.999999999999998,1
1991,Minardi,65.156,104.25,0.6249976019184653,16
1992,Minardi,61.7,92.55,0.6666666666666667,15
1993,Ligier,70.613,112.98000000000002,0.6250044255620463,16
2017,McLaren,66.87,133.73999999999998,0.5000000000000001,20
2017,Williams,70.545,141.09,0.5,20
2023,Mercedes,79.473,174.83999999999997,0.4545470144131778,22
2011,Toro Rosso,66.458,126.27,0.5263166231092105,19
2016,Force India,74.414,156.27,0.4761886478530748,21
2022,Racing Bulls,67.886,149.35,0.4545430197522598,22
1950,ERA,68.08,20.424,3.3333333333333335,3
1950,Deidt,73.53,7.353,10.0,1
1950,Stevens,69.6,6.96,10.0,1
1950,Wetteroth,46.2,4.62,10.0,1
1951,Maserati,57.4,34.44,1.6666666666666667,6
1951,Pawl,56.4,5.64,10.0,1
1951,Trevis,45.0,4.5,10.0,1
1951,Simca,68.263,27.305,2.5000183116645305,4
1952,BMW,55.65,5.565,9.999999999999998,1
1953,Cooper,66.983,46.888,1.4285744753455043,7
1953,Turner,52.8,5.28,9.999999999999998,1
1953,AFM,49.9,9.98,5.0,2
1954,Cooper,49.05,4.905,9.999999999999998,1
1955,Kuzma,57.9,5.79,10.0,1
1957,Kurtis Kraft,59.64,5.964,10.0,1
1957,Watson,53.8,5.38,10.0,1
1958,Phillips,75.6,7.56,10.0,1
1961,Ferguson,57.0,5.7,10.0,1
1961,MBM,37.25,3.725,10.0,1
1962,Cooper-Climax,74.678,67.21000000000001,1.1111144174973961,9
1962,De Tomaso-Alfa Romeo,49.4,4.94,9.999999999999998,1
1963,Gilby,60.0,6.0,10.0,1
1963,Cooper-Maserati,66.0,6.6,10.0,1
1964,Honda,65.0,19.5,3.3333333333333335,3
1965,LDS-Alfa Romeo,64.2,6.42,10.0,1
1966,Lotus-BRM,70.811,63.72999999999999,1.1111093676447517,9
1966,Lotus-Climax,77.1,61.68,1.25,8
1966,Cooper-Ferrari,65.1,13.02,5.0,2
1967,McLaren-BRM,73.0,43.8,1.6666666666666667,6
1968,Ferrari,75.6,83.16000000000001,0.909090909090909,11
1968,Lotus-Ford,76.304,91.56500000000001,0.8333315131327471,12
1971,Ferrari,73.018,80.32,0.9090886454183268,11
1971,Lotus-Ford,71.17,71.17,1.0,10
1979,Team Lotus,68.813,103.22000000000001,0.6666634373183491,15
1980,Brabham,73.029,102.24000000000001,0.7142899061032862,14
1980,Fittipaldi,65.079,91.11,0.7142904181758314,14
1981,Ferrari,70.58,105.86999999999998,0.6666666666666669,15
1982,Sauber,68.4,109.44,0.6250000000000001,16
1983,Tyrrell,63.08,94.62,0.6666666666666666,15
1984,Arrows,63.28,94.92,0.6666666666666666,15
1987,Benetton,73.406,117.45000000000002,0.624997871434653,16
1989,Brabham,66.381,106.21000000000001,0.6249976461726767,16
1990,Team Lotus,64.638,103.42,0.6250048346548057,16
1996,McLaren,76.762,122.82,0.6249959290017912,16
1996,Williams,84.637,135.42,0.624996307783193,16
1997,McLaren,75.318,128.04,0.5882380506091847,17
1997,Williams,80.912,137.54999999999998,0.5882370047255545,17
1998,Stewart,64.95,103.92000000000002,0.6249999999999999,16
1999,Stewart,73.163,117.06,0.625004271313856,16
2012,Ferrari,78.825,157.65000000000003,0.4999999999999999,20
2024,Alpine F1 Team,67.629,162.31,0.4166656398250262,24
2024,RB F1 Team,68.587,164.60999999999999,0.41666362918413224,24
1959,Christensen,51.0,5.1,10.0,1
1959,Kuzma,63.0,6.3,10.0,1
1991,McLaren,81.113,129.78,0.6250038526737556,16
1991,Williams,79.894,127.83,0.6250019557224439,16
1992,McLaren,77.1,123.36000000000001,0.6249999999999999,16
1992,Williams,82.931,132.69,0.6249981159092621,16
1993,Team Lotus,64.894,103.82999999999998,0.6250024077819514,16
1994,Ferrari,74.719,119.55000000000001,0.6250020911752404,16
2017,Haas F1 Team,68.52,137.04000000000002,0.4999999999999999,20
2017,Sauber,63.675,127.34999999999998,0.5000000000000001,20
2019,Red Bull Racing,80.438,168.92000000000002,0.4761899123845607,21
2023,Ferrari,79.145,174.11999999999998,0.45454284401562145,22
2007,Toro Rosso,62.276,105.87000000000002,0.5882308491546235,17
2023,AlphaTauri,66.805,146.97,0.4545485473225829,22
1998,Jordan,73.369,117.39000000000001,0.6250021296532924,16
1999,Jordan,75.431,120.69,0.6249979285773469,16
2008,Force India,60.283,108.50999999999998,0.5555524836420608,18
2009,Force India,66.212,112.55999999999997,0.5882373845060413,17
2018,Force India,71.957,151.11,0.47618953080537346,21
1950,Cooper,57.0,5.7,10.0,1
1951,Ferrari,79.354,55.548,1.428566285014762,7
1952,Frazer Nash,67.8,27.12,2.5,4
1952,Gordini,72.314,50.61999999999999,1.4285657842749901,7
1953,Stevens,60.9,6.09,10.0,1
1954,Stevens,58.4,5.84,10.0,1
1955,Arzani-Volpini,49.4,4.94,9.999999999999998,1
1956,Vanwall,71.03,35.515,2.0,5
1962,BRM,75.212,67.691,1.111107828219409,9
1962,Brabham,74.6,22.38,3.333333333333333,3
1963,BRP,73.56,36.78,2.0,5
1965,Honda,72.338,57.870000000000005,1.250008640055296,8
1969,Ferrari,76.77,76.77,1.0,10
1969,Lotus-Ford,76.413,84.05399999999999,0.9090941537582984,11
1972,McLaren,80.008,96.00999999999999,0.8333298614727633,12
1973,BRM,69.073,103.61,0.6666634494739889,15
1973,Brabham,68.653,102.97999999999999,0.6666634297921927,15
1973,Iso Marlboro,64.18,96.27,0.6666666666666667,15
1973,Surtees,66.487,99.72999999999999,0.6666700090243658,15
1975,March,64.039,89.65499999999999,0.7142825274663991,14
1977,Shadow,67.288,114.39,0.5882332371710813,17
1977,Tyrrell,69.8,118.65999999999998,0.5882352941176471,17
1977,Penske,63.95,76.74,0.8333333333333335,12
1979,Sauber,60.36,30.18,2.0,5
1979,Brabham-Ford,68.46,13.692,4.999999999999999,2
1982,Team Lotus,68.26,102.38999999999999,0.6666666666666669,15
1984,Renault,73.963,118.34,0.625004225114078,16
1985,Brabham,70.219,112.35000000000001,0.625002225189141,16
1987,Arrows,68.363,109.38000000000001,0.6250045712196013,16
1990,Minardi,61.169,97.87,0.6250025544089097,16
1995,Forti,58.376,99.24,0.5882305521966948,17
1995,Minardi,64.765,110.09999999999998,0.588237965485922,17
